municipality_id,rainfall,lat,lon
19006,0.31,85.60991236423035,26.890275211567417
19007,0.18,85.50982624436668,26.89999248082516
19008,0.02,85.60054102472732,26.93755034223732
19009,0.1,85.40925038,26.88307466470385
19010,0.12,85.44567206906083,26.844422530450373
19011,0.02,85.5484733,27.01127118739012
19012,0.15000000000000002,85.68691274034707,26.91470429831354
19013,0.13,85.57424006678373,27.10063951566307
19014,0.06,85.69394521791432,27.00935067108752
19015,0.04,85.53686604042909,26.9411164754544
19016,0.33999999999999997,85.50728566452042,26.858783195845582
19017,0.09,85.68904437404687,27.10291121291133
19018,0.45999999999999996,85.54787712356422,26.85881249478566
19019,0.45,85.65386741,26.873717384025728
19020,0.12,85.38160232,26.83818423032358
20001,0.33,86.23875971,27.03262625414921
20002,2.31,85.78628284185064,27.343395929304386
20003,1.6199999999999999,86.06759949,27.252217169295548
20004,0.56,85.54107642126684,27.251680682357268
20005,0.71,85.93062782835923,27.187849889296228
20006,0.49000000000000005,85.69732655115341,27.25540262050499
20007,1.79,86.28613922961935,27.18698085181835
20008,1.52,85.88150160337878,27.37967729411301
20009,1.79,86.13218632530614,27.133879729474536
21001,1.45,85.92120036368276,27.549422334948265
21002,2.02,86.26427286814113,27.576394248581256
21003,0.51,85.94304908421857,27.43821657830833
21004,1.51,86.18327456,27.43934745353523
21005,0.45,86.06437215,27.408813125557515
21006,1.62,86.14647421310649,27.31615902807735
21007,1.51,85.85586645812872,27.495758252532852
21008,9.33,86.42243351715781,27.660969160959016
22001,1.38,86.12822881538156,27.63436304989436
22002,2.3,86.01805934771816,27.68708400916634
22003,23.96,86.15871618789441,27.93563795
22004,8.32,86.34343033702297,27.823556184506806
22005,1.25,86.28309880033339,27.66357236863313
22006,6.7700000000000005,86.08848479843478,27.74975276
22007,2.32,86.04342408931875,27.54425327682352
22008,2.31,85.97946722,27.61810932
22009,1.5,86.12174831326207,27.54561666390584
23001,0.03,85.80360085768024,27.78123351037644
23002,0.9400000000000001,85.90010534211547,27.821772074840585
23003,1.7,85.93622396,27.918081999950203
23004,0.33,85.71978082667378,27.75795439389096
23005,13.71,85.52816847,28.000494332290444
23006,0.37,85.63899182078808,27.78396048275381
23007,0.8300000000000001,85.79108606095211,28.01548831388694
23008,0.61,85.87576402,27.67369567710234
23009,0.39,85.54085668210249,27.82649924565881
23010,13.81,85.643479,28.013607297984223
23011,0.07,85.80692672241943,27.709528474489144
23012,1.88,85.94530237392672,27.752880467366783
24001,5.4799999999999995,85.51361867,27.648347403342203
24002,3.61,85.49598343519466,27.507032628884755
24003,0.89,85.74575305664533,27.636317919473505
24004,0.15,85.80512586277803,27.580809236973764
24005,6.319999999999999,85.57228140673493,27.61797601
24006,1.4000000000000001,85.49675821978379,27.42875639159558
24007,1.82,85.62167355031147,27.392395883065728
24008,2.28,85.59867065791707,27.71022364234717
24009,5.93,85.63978598994296,27.553225276836805
24010,4.39,85.47827837311583,27.577260926328613
24011,5.8,85.63862481052399,27.636981490518835
24012,2.77,85.67118348580584,27.470433943444963
24013,1.2000000000000002,85.75713314178802,27.509664103247463
25001,3.5,85.30410925,27.484321910898924
25002,4.66,85.33558154743378,27.58455687528972
25003,3.23,85.35024138831888,27.53047639287835
25004,4.5,85.31574605133741,27.650588829176176
25005,3.3600000000000003,85.38022313,27.63509436139513
25006,1.91,85.39883901853106,27.487753735685672
26001,3.3600000000000003,85.42962094,27.675022523227053
26002,2.12,85.46272408847713,27.696266152604423
26003,3.31,85.38154349,27.68250883735966
26004,3.3600000000000003,85.42546460420431,27.64927297157717
27001,0.43000000000000005,85.36229102983364,27.77230850782952
27002,7.54,85.22954986,27.686886622901504
27003,9.94,85.26113671186424,27.616227614011773
27004,0.43000000000000005,85.41397601354551,27.773949753697103
27005,0.6,85.41927176559565,27.735166944848427
27006,1.9,85.32728203711999,27.70902258525178
27007,9.94,85.27516345968102,27.66680625015296
27008,0.59,85.26138470905312,27.72729264157427
27009,0.39,85.49904405260625,27.753557676277204
27010,0.39,85.29705386096234,27.77773907168037
27011,0.43000000000000005,85.33021770561382,27.77539039876946
28001,0.32,85.12286437772318,27.82497084889005
28002,0.19,85.13606805719579,27.92586871526321
28003,1.5899999999999999,85.42628713893306,27.938024800772663
28004,0.39,85.23119644,27.818478196469563
28005,0.17,85.12538493931653,28.03165878737777
28006,0.27,85.22426379945408,27.892982219122597
